北京邮电大学,双一流,宏福校区,,,,,,,,,,,2021,616,16166,2022,600,15216,2023,614,13937
北京邮电大学,双一流,普通类,,,,,2019,630,5342,2020,662,5463,2021,646,5337,2022,624,6028,2023,638,5568
北京中医药大学,双一流,普通类,,,,,2019,590,21457,2020,633,18475,2021,605,22560,2022,581,27613,2023,576,41196
辽宁大学,双一流,特殊类,,,,,,,,,,,,,,,,,2023,570,47216
辽宁大学,双一流,较高收费,,,,,,,,,,,,,,,,,2023,561,57115
辽宁大学,双一流,高收费专业,,,,,,,,,,,2021,570,51895,2022,560,47459,,,
辽宁大学,双一流,其他单列,,,,,,,,,,,,,,2022,567,40090,2023,540,84884
辽宁大学,双一流,普通类,,,,,2019,580,27764,2020,621,26493,2021,599,26645,2022,555,53255,2023,587,31315
西南交通大学,双一流,异地校区,,,,,,,,2020,615,31039,,,,,,,,,
西南交通大学,双一流,较高收费,,,,,,,,,,,,,,,,,2023,578,39314
西南交通大学,双一流,峨眉校区就读,,,,,2019,568,36336,,,,,,,,,,,,
西南交通大学,双一流,中外合作办学,,,,,2019,588,22618,,,,,,,,,,,,
西南交通大学,双一流,高收费专业,,,,,,,,2020,624,24312,2021,599,26645,2022,553,55587,,,
西南交通大学,双一流,其他单列,,,,,,,,2020,550,102795,,,,2022,569,38099,2023,571,46132
西南交通大学,双一流,普通类,,,,,2019,596,18059,2020,639,14936,2021,615,16706,2022,594,18630,2023,607,17545
北京师范大学,双一流,珠海校区,,,,,,,,,,,2021,629,10535,2022,614,9163,2023,626,9098
北京师范大学,双一流,普通类,,,,,,,,,,,2021,636,8107,2022,626,5504,2023,638,5568
对外经济贸易大学,双一流,普通类,,,,,2019,527,76393,2020,652,8900,2021,642,6374,2022,618,7814,2023,609,16466
河北大学,,普通类,,,,,2019,545,57178,2020,596,48117,2021,579,43027,2022,559,48530,2023,551,69662
河北科技大学,,普通类,,,,,2019,551,51294,2020,590,54281,2021,518,116712,2022,525,94214,2023,541,83430
西安电子科技大学,双一流,较高收费,,,,,,,,,,,,,,,,,2023,603,19849
西安电子科技大学,双一流,中外合作办学,,,,,2019,596,18059,,,,,,,,,,,,
西安电子科技大学,双一流,高收费专业,,,,,,,,2020,633,18475,2021,615,16706,2022,593,19260,,,
西安电子科技大学,双一流,普通类,,,,,2019,618,8715,2020,653,8491,2021,635,8421,2022,617,8122,2023,632,7185
湖南师范大学,双一流,普通类,,,,,2019,587,23239,2020,623,25056,2021,602,24547,2022,570,37209,2023,591,28052
南开大学,双一流,高收费专业,,,,,,,,2020,650,9653,,,,,,,,,
南开大学,双一流,其他单列,,,,,,,,,,,2021,651,4219,2022,613,9522,2023,638,5568
南开大学,双一流,普通类,,,,,2019,646,2358,2020,678,1919,2021,665,1945,2022,587,23098,2023,649,3414
天津大学,双一流,医护类,,,,,,,,,,,2021,626,11699,2022,616,8467,2023,634,6603
天津大学,双一流,其他单列,,,,,,,,,,,2021,615,16706,,,,,,
天津大学,双一流,普通类,,,,,2019,634,4436,2020,665,4594,2021,652,4022,2022,622,6598,2023,633,6878
中国海洋大学,双一流,较高收费,,,,,,,,,,,,,,,,,2023,590,28881
中国海洋大学,双一流,中外合作办学,,,,,2019,580,27764,,,,,,,,,,,,
中国海洋大学,双一流,高收费专业,,,,,,,,2020,614,31866,2021,596,28854,2022,583,26058,,,
中国海洋大学,双一流,普通类,,,,,2019,606,13279,2020,644,12396,2021,624,12534,2022,597,16878,2023,610,15925
郑州大学,双一流,医护类,,,,,,,,,,,2021,567,54949,2022,555,53255,2023,564,53716
郑州大学,双一流,中外合作办学,,,,,,,,2020,606,38611,2021,589,34265,2022,571,36261,2023,581,36540
郑州大学,双一流,其他单列,,,,,,,,,,,2021,627,11294,2022,613,9522,2023,627,8771
郑州大学,双一流,医护类专业,,,,,,,,2020,583,61893,,,,,,,,,
