内蒙古大学,双一流,普通类,,,,,2023,571,46132,2022,559,48530,2021,584,38526,2020,602,42274
河北大学,,普通类,,,,,2023,551,69662,2022,559,48530,2021,579,43027,2020,596,48117
河北科技大学,,普通类,,,,,2023,541,83430,2022,525,94214,2021,518,116712,2020,590,54281
安徽理工大学,,较高收费,,,,,2023,549,72337,,,,,,,,,
安徽理工大学,,高收费专业,,,,,,,,2022,539,73712,2021,550,74466,2020,571,75906
安徽理工大学,,普通类,,,,,2023,541,83430,2022,524,95771,2021,561,61408,2020,585,59698
安徽工业大学,,普通类,,,,,2023,559,59481,2022,544,66918,2021,559,63644,2020,581,64188
济南大学,,普通类,,,,,2023,550,70991,2022,510,118120,2021,576,45897,2020,600,44162
新疆大学,双一流,较高收费,,,,,2023,570,47216,,,,,,,,,
新疆大学,双一流,高收费专业,,,,,,,,2022,559,48530,2021,572,49827,2020,587,57472
新疆大学,双一流,普通类,,,,,2023,558,60657,2022,511,116434,2021,579,43027,2020,594,50132
天津师范大学,,较高收费,,,,,2023,567,50409,,,,,,,,,
天津师范大学,,高收费专业,,,,,,,,2022,557,50915,2021,571,50842,2020,593,51170
天津师范大学,,普通类,,,,,2023,548,73607,2022,509,119754,2021,578,43977,2020,602,42274
天津理工大学,,普通类,,,,,2023,557,61944,2022,565,42195,2021,578,43977,2020,600,44162
天津科技大学,,较高收费,,,,,2023,542,81975,,,,,,,,,
天津科技大学,,高收费专业,,,,,,,,2022,531,85142,2021,551,73198,2020,584,60827
天津科技大学,,普通类,,,,,2023,552,68278,2022,554,54405,2021,570,51895,2020,595,49113
天津财经大学,,较高收费,,,,,2023,553,67050,,,,,,,,,
天津财经大学,,高收费专业,,,,,,,,2022,536,78004,2021,585,37676,2020,604,40431
天津财经大学,,普通类,,,,,2023,563,54864,2022,551,58004,2021,531,98686,2020,610,35130
天津外国语大学,,特殊类,,,,,2023,520,115516,,,,,,,,,
天津外国语大学,,较高收费,,,,,2023,547,74961,,,,,,,,,
天津外国语大学,,高收费专业,,,,,,,,2022,539,73712,2021,558,64821,2020,575,71135
天津外国语大学,,其他单列,,,,,,,,2022,536,78004,2021,519,115307,,,
天津外国语大学,,普通类,,,,,2023,546,76354,2022,517,106694,2021,564,58092,2020,606,38611
中国民航大学,,普通类,,,,,2023,572,45094,2022,557,50915,2021,567,54949,2020,584,60827
